provinsi,tahun,crime_total
Nusa Tenggara Timur,2021,4909
Nusa Tenggara Timur,2022,5991
Nusa Tenggara Timur,2023,12692
Nusa Tenggara Timur,2024,13007
Papua,2015,7194
Papua,2016,8103
Papua,2017,6785
Papua,2018,7311
Papua,2019,6994
Papua,2020,6962
Papua,2021,6236
Papua,2022,7584
Papua,2023,14074
Papua,2024,13922
Papua Barat,2015,1356
Papua Barat,2016,3123
Papua Barat,2017,2284
Papua Barat,2018,3475
Papua Barat,2019,2972
Papua Barat,2020,3162
Papua Barat,2021,2784
Papua Barat,2022,4083
Papua Barat,2023,6410
Papua Barat,2024,6085
Riau,2015,9595
Riau,2016,8520
Riau,2017,6869
Riau,2018,7246
Riau,2019,6570
Riau,2020,8194
Riau,2021,7512
Riau,2022,12389
Riau,2023,15777
Riau,2024,17799
Sulawesi Barat,2018,1817
Sulawesi Barat,2019,1863
Sulawesi Barat,2020,1704
Sulawesi Barat,2021,1500
Sulawesi Barat,2022,2027
Sulawesi Barat,2023,2679
Sulawesi Barat,2024,2882
Sulawesi Selatan,2015,16088
Sulawesi Selatan,2016,15071
Sulawesi Selatan,2017,21616
Sulawesi Selatan,2018,21498
Sulawesi Selatan,2019,16008
Sulawesi Selatan,2020,12815
Sulawesi Selatan,2021,14636
Sulawesi Selatan,2022,28679
Sulawesi Selatan,2023,41196
Sulawesi Selatan,2024,39443
Sulawesi Tengah,2015,8988
Sulawesi Tengah,2016,9602
Sulawesi Tengah,2017,10240
Sulawesi Tengah,2018,9379
Sulawesi Tengah,2019,6265
Sulawesi Tengah,2020,5454
Sulawesi Tengah,2021,5139
Sulawesi Tengah,2022,5453
Sulawesi Tengah,2023,8944
Sulawesi Tengah,2024,9623
Sulawesi Tenggara,2015,3655
Sulawesi Tenggara,2016,3756
Sulawesi Tenggara,2017,2866
Sulawesi Tenggara,2018,1263
Sulawesi Tenggara,2019,1213
Sulawesi Tenggara,2020,2148
Sulawesi Tenggara,2021,2431
Sulawesi Tenggara,2022,3828
Sulawesi Tenggara,2023,6276
Sulawesi Tenggara,2024,5939
Sulawesi Utara,2015,7837
Sulawesi Utara,2016,9923
Sulawesi Utara,2017,7981
Sulawesi Utara,2018,10247
Sulawesi Utara,2019,7425
Sulawesi Utara,2020,6274
Sulawesi Utara,2021,6215
Sulawesi Utara,2022,9618
Sulawesi Utara,2023,14265
Sulawesi Utara,2024,13078
Sumatera Barat,2015,16277
Sumatera Barat,2016,14921
Sumatera Barat,2017,13205
Sumatera Barat,2018,12953
Sumatera Barat,2019,11064
Sumatera Barat,2020,7992
Sumatera Barat,2021,5666
Sumatera Barat,2022,7691
Sumatera Barat,2023,12722
Sumatera Barat,2024,13099
Sumatera Selatan,2015,20575
Sumatera Selatan,2016,9124
Sumatera Selatan,2017,15728
Sumatera Selatan,2018,13558
Sumatera Selatan,2019,12861
Sumatera Selatan,2020,12189
Sumatera Selatan,2021,13037
Sumatera Selatan,2022,11453
Sumatera Selatan,2023,21335
Sumatera Selatan,2024,25154
Sumatera Utara,2015,35248
Sumatera Utara,2016,37102
Sumatera Utara,2017,39867
Sumatera Utara,2018,32922
Sumatera Utara,2019,30831
Sumatera Utara,2020,32990
Sumatera Utara,2021,36534
Sumatera Utara,2022,43555
Sumatera Utara,2023,62278
Sumatera Utara,2024,60724
