provinsi,population_density,tahun,population
Sulawesi Selatan,207,2023,9362300
Sulawesi Selatan,209,2024,9463400
Sulawesi Selatan,211,2025,9563100
Sulawesi Selatan,213,2026,9661300
Sulawesi Tengah,48,2020,2985700
Sulawesi Tengah,49,2021,3021900
Sulawesi Tengah,50,2022,3066100
Sulawesi Tengah,50,2023,3086800
Sulawesi Tengah,51,2024,3121800
Sulawesi Tengah,51,2025,3156100
Sulawesi Tengah,52,2026,3189800
Sulawesi Tenggara,69,2020,2624900
Sulawesi Tenggara,70,2021,2659200
Sulawesi Tenggara,75,2022,2701700
Sulawesi Tenggara,76,2023,2749000
Sulawesi Tenggara,77,2024,2793100
Sulawesi Tenggara,78,2025,2836700
Sulawesi Tenggara,80,2026,2880000
Sulawesi Utara,189,2020,2621900
Sulawesi Utara,190,2021,2638600
Sulawesi Utara,183,2022,2659500
Sulawesi Utara,185,2023,2681500
Sulawesi Utara,186,2024,2701800
Sulawesi Utara,188,2025,2721400
Sulawesi Utara,189,2026,2740500
Sumatera Barat,132,2020,5534500
Sumatera Barat,133,2021,5580200
Sumatera Barat,134,2022,5640600
Sumatera Barat,137,2023,5757200
Sumatera Barat,139,2024,5836200
Sumatera Barat,140,2025,5914300
Sumatera Barat,142,2026,5991600
Sumatera Selatan,92,2020,8467400
Sumatera Selatan,93,2021,8550900
Sumatera Selatan,100,2022,8657000
Sumatera Selatan,101,2023,8743500
Sumatera Selatan,102,2024,8837300
Sumatera Selatan,103,2025,8928500
Sumatera Selatan,104,2026,9017100
Sumatera Utara,203,2020,14799400
Sumatera Utara,205,2021,14936200
Sumatera Utara,209,2022,15115200
Sumatera Utara,212,2023,15386600
Sumatera Utara,215,2024,15588500
Sumatera Utara,218,2025,15785800
Sumatera Utara,221,2026,15978600
