provinsi,tahun,crime_total,is_outlier
Kepulauan Riau,2021,2481.0,False
Kepulauan Riau,2022,3358.0,False
Kepulauan Riau,2023,5074.0,False
Kepulauan Riau,2024,5294.0,False
Lampung,2015,9218.0,False
Lampung,2016,10485.0,False
Lampung,2017,11089.0,False
Lampung,2018,8963.0,False
Lampung,2019,8534.0,False
Lampung,2020,7594.0,False
Lampung,2021,9764.0,False
Lampung,2022,11022.0,False
Lampung,2023,16608.0,False
Lampung,2024,16249.0,False
Maluku,2015,1873.0,False
Maluku,2016,2559.0,False
Maluku,2017,3086.0,False
Maluku,2018,2751.0,False
Maluku,2019,3495.0,False
Maluku,2020,5350.0,False
Maluku,2021,3139.0,False
Maluku,2022,2383.0,False
Maluku,2023,4741.0,False
Maluku,2024,4512.0,False
Maluku Utara,2015,814.0,False
Maluku Utara,2016,1096.0,False
Maluku Utara,2017,789.0,False
Maluku Utara,2020,850.0,False
Maluku Utara,2021,1008.0,False
Maluku Utara,2022,1220.0,False
Maluku Utara,2023,2334.0,False
Maluku Utara,2024,2146.0,False
Nusa Tenggara Barat,2015,6015.0,False
Nusa Tenggara Barat,2016,7779.0,False
Nusa Tenggara Barat,2017,8132.0,False
Nusa Tenggara Barat,2018,6451.0,False
Nusa Tenggara Barat,2019,8185.0,False
Nusa Tenggara Barat,2020,8591.0,False
Nusa Tenggara Barat,2021,6296.0,False
Nusa Tenggara Barat,2022,5296.0,False
Nusa Tenggara Barat,2023,7550.0,False
Nusa Tenggara Barat,2024,7546.0,False
Nusa Tenggara Timur,2015,6709.0,False
Nusa Tenggara Timur,2016,8713.0,False
Nusa Tenggara Timur,2017,6729.0,False
Nusa Tenggara Timur,2018,6257.0,False
Nusa Tenggara Timur,2019,5865.0,False
Nusa Tenggara Timur,2020,4790.0,False
Nusa Tenggara Timur,2021,4909.0,False
Nusa Tenggara Timur,2022,5991.0,False
Nusa Tenggara Timur,2023,12692.0,False
Nusa Tenggara Timur,2024,13007.0,False
Papua,2015,7194.0,False
Papua,2016,8103.0,False
Papua,2017,6785.0,False
Papua,2018,7311.0,False
Papua,2019,6994.0,False
Papua,2020,6962.0,False
Papua,2021,6236.0,False
Papua,2022,7584.0,False
Papua,2023,14074.0,False
Papua,2024,13922.0,False
Papua Barat,2015,1356.0,False
Papua Barat,2016,3123.0,False
Papua Barat,2017,2284.0,False
Papua Barat,2018,3475.0,False
Papua Barat,2019,2972.0,False
Papua Barat,2020,3162.0,False
Papua Barat,2021,2784.0,False
Papua Barat,2022,4083.0,False
Papua Barat,2023,6410.0,False
Papua Barat,2024,6085.0,False
Riau,2015,9595.0,False
Riau,2016,8520.0,False
Riau,2017,6869.0,False
Riau,2018,7246.0,False
Riau,2019,6570.0,False
Riau,2020,8194.0,False
Riau,2021,7512.0,False
Riau,2022,12389.0,False
Riau,2023,15777.0,False
Riau,2024,17799.0,False
Sulawesi Barat,2018,1817.0,False
Sulawesi Barat,2019,1863.0,False
Sulawesi Barat,2020,1704.0,False
Sulawesi Barat,2021,1500.0,False
Sulawesi Barat,2022,2027.0,False
Sulawesi Barat,2023,2679.0,False
Sulawesi Barat,2024,2882.0,False
Sulawesi Selatan,2015,16088.0,False
Sulawesi Selatan,2016,15071.0,False
Sulawesi Selatan,2017,21616.0,False
Sulawesi Selatan,2018,21498.0,False
Sulawesi Selatan,2019,16008.0,False
Sulawesi Selatan,2020,12815.0,False
Sulawesi Selatan,2021,14636.0,False
Sulawesi Selatan,2022,28679.0,False
Sulawesi Selatan,2023,41196.0,False
Sulawesi Selatan,2024,39443.0,False
Sulawesi Tengah,2015,8988.0,False
Sulawesi Tengah,2016,9602.0,False
Sulawesi Tengah,2017,10240.0,False
Sulawesi Tengah,2018,9379.0,False
Sulawesi Tengah,2019,6265.0,False
Sulawesi Tengah,2020,5454.0,False
Sulawesi Tengah,2021,5139.0,False
Sulawesi Tengah,2022,5453.0,False
Sulawesi Tengah,2023,8944.0,False
Sulawesi Tengah,2024,9623.0,False
Sulawesi Tenggara,2015,3655.0,False
Sulawesi Tenggara,2016,3756.0,False
Sulawesi Tenggara,2017,2866.0,False
Sulawesi Tenggara,2018,1263.0,False
Sulawesi Tenggara,2019,1213.0,False
Sulawesi Tenggara,2020,2148.0,False
Sulawesi Tenggara,2021,2431.0,False
Sulawesi Tenggara,2022,3828.0,False
Sulawesi Tenggara,2023,6276.0,False
Sulawesi Tenggara,2024,5939.0,False
Sulawesi Utara,2015,7837.0,False
Sulawesi Utara,2016,9923.0,False
Sulawesi Utara,2017,7981.0,False
Sulawesi Utara,2018,10247.0,False
Sulawesi Utara,2019,7425.0,False
Sulawesi Utara,2020,6274.0,False
Sulawesi Utara,2021,6215.0,False
Sulawesi Utara,2022,9618.0,False
Sulawesi Utara,2023,14265.0,False
Sulawesi Utara,2024,13078.0,False
Sumatera Barat,2015,16277.0,False
Sumatera Barat,2016,14921.0,False
Sumatera Barat,2017,13205.0,False
Sumatera Barat,2018,12953.0,False
Sumatera Barat,2019,11064.0,False
Sumatera Barat,2020,7992.0,False
Sumatera Barat,2021,5666.0,False
Sumatera Barat,2022,7691.0,False
Sumatera Barat,2023,12722.0,False
Sumatera Barat,2024,13099.0,False
Sumatera Selatan,2015,20575.0,False
Sumatera Selatan,2016,9124.0,False
Sumatera Selatan,2017,15728.0,False
Sumatera Selatan,2018,13558.0,False
Sumatera Selatan,2019,12861.0,False
Sumatera Selatan,2020,12189.0,False
Sumatera Selatan,2021,13037.0,False
Sumatera Selatan,2022,11453.0,False
Sumatera Selatan,2023,21335.0,False
Sumatera Selatan,2024,25154.0,False
Sumatera Utara,2015,35248.0,False
Sumatera Utara,2016,37102.0,False
Sumatera Utara,2017,39867.0,False
Sumatera Utara,2018,32922.0,False
Sumatera Utara,2019,30831.0,False
Sumatera Utara,2020,32990.0,False
Sumatera Utara,2021,36534.0,False
Sumatera Utara,2022,43555.0,False
Sumatera Utara,2023,62278.0,False
Sumatera Utara,2024,60724.0,False
