provinsi,population_density,tahun,population,is_extrapolated
Kalimantan Selatan,114.0,2023,4222300,False
Kalimantan Selatan,115.0,2024,4273400,False
Kalimantan Selatan,116.0,2025,4323300,False
Kalimantan Selatan,118.0,2026,4372100,False
Kalimantan Tengah,16.0,2015,2519141,True
Kalimantan Tengah,16.2,2016,2548615,True
Kalimantan Tengah,16.4,2017,2578434,True
Kalimantan Tengah,16.6,2018,2608602,True
Kalimantan Tengah,16.8,2019,2639122,True
Kalimantan Tengah,17.0,2020,2670000,False
Kalimantan Tengah,18.0,2021,2702200,False
Kalimantan Tengah,18.0,2022,2741100,False
Kalimantan Tengah,18.0,2023,2773700,False
Kalimantan Tengah,18.0,2024,2809700,False
Kalimantan Tengah,19.0,2025,2845000,False
Kalimantan Tengah,19.0,2026,2879500,False
Kalimantan Timur,27.4,2015,3553216,True
Kalimantan Timur,27.7,2016,3594788,True
Kalimantan Timur,28.0,2017,3636847,True
Kalimantan Timur,28.3,2018,3679398,True
Kalimantan Timur,28.7,2019,3722447,True
Kalimantan Timur,29.0,2020,3766000,False
Kalimantan Timur,30.0,2021,3808200,False
Kalimantan Timur,30.0,2022,3859800,False
Kalimantan Timur,31.0,2023,3909700,False
Kalimantan Timur,32.0,2024,4045900,False
Kalimantan Timur,34.0,2025,4267600,False
Kalimantan Timur,35.0,2026,4478400,False
Kalimantan Utara,8.5,2015,662147,True
Kalimantan Utara,8.6,2016,669894,True
Kalimantan Utara,8.7,2017,677732,True
Kalimantan Utara,8.8,2018,685662,True
Kalimantan Utara,8.9,2019,693684,True
Kalimantan Utara,9.0,2020,701800,False
Kalimantan Utara,9.0,2021,713600,False
Kalimantan Utara,10.0,2022,727800,False
Kalimantan Utara,10.0,2023,730000,False
Kalimantan Utara,11.0,2024,739800,False
Kalimantan Utara,11.0,2025,749400,False
Kalimantan Utara,11.0,2026,758800,False
Kepulauan Bangka Belitung,84.0,2015,1373451,True
Kepulauan Bangka Belitung,85.0,2016,1389520,True
Kepulauan Bangka Belitung,85.9,2017,1405778,True
Kepulauan Bangka Belitung,87.0,2018,1422225,True
Kepulauan Bangka Belitung,88.0,2019,1438865,True
Kepulauan Bangka Belitung,89.0,2020,1455700,False
Kepulauan Bangka Belitung,90.0,2021,1473200,False
Kepulauan Bangka Belitung,90.0,2022,1494600,False
Kepulauan Bangka Belitung,91.0,2023,1511900,False
Kepulauan Bangka Belitung,92.0,2024,1531500,False
Kepulauan Bangka Belitung,93.0,2025,1550800,False
Kepulauan Bangka Belitung,94.0,2026,1569700,False
Kepulauan Riau,237.8,2015,1947947,True
Kepulauan Riau,240.5,2016,1970738,True
Kepulauan Riau,243.4,2017,1993796,True
Kepulauan Riau,246.2,2018,2017123,True
Kepulauan Riau,249.1,2019,2040724,True
Kepulauan Riau,252.0,2020,2064600,False
Kepulauan Riau,258.0,2021,2118200,False
Kepulauan Riau,264.0,2022,2179800,False
Kepulauan Riau,260.0,2023,2152600,False
Kepulauan Riau,264.0,2024,2183300,False
Kepulauan Riau,268.0,2025,2213500,False
Kepulauan Riau,275.0,2026,2243100,False
Lampung,245.3,2015,8498846,True
Lampung,248.2,2016,8598283,True
Lampung,251.1,2017,8698883,True
Lampung,254.0,2018,8800660,True
Lampung,257.0,2019,8903628,True
Lampung,260.0,2020,9007800,False
Lampung,262.0,2021,9081800,False
Lampung,273.0,2022,9176600,False
Lampung,277.0,2023,9314000,False
Lampung,281.0,2024,9419600,False
Lampung,284.0,2025,9522900,False
Lampung,287.0,2026,9623800,False
Maluku,36.8,2015,1744435,True
Maluku,37.2,2016,1764844,True
Maluku,37.7,2017,1785493,True
Maluku,38.1,2018,1806383,True
Maluku,38.5,2019,1827518,True
Maluku,39.0,2020,1848900,False
Maluku,40.0,2021,1862600,False
Maluku,41.0,2022,1881700,False
Maluku,42.0,2023,1920500,False
Maluku,42.0,2024,1945600,False
Maluku,43.0,2025,1970600,False
Maluku,43.0,2026,1995200,False
Maluku Utara,41.0,2021,1299200,False
Maluku Utara,40.0,2022,1319300,False
Maluku Utara,41.0,2023,1337100,False
Maluku Utara,41.0,2024,1355600,False
Maluku Utara,42.0,2025,1373800,False
Maluku Utara,44.0,2026,1391700,False
Nusa Tenggara Barat,269.8,2015,5019507,True
Nusa Tenggara Barat,273.0,2016,5078235,True
Nusa Tenggara Barat,276.2,2017,5137650,True
Nusa Tenggara Barat,279.4,2018,5197761,True
Nusa Tenggara Barat,282.7,2019,5258575,True
Nusa Tenggara Barat,286.0,2020,5320100,False
Nusa Tenggara Barat,290.0,2021,5390000,False
Nusa Tenggara Barat,278.0,2022,5473700,False
Nusa Tenggara Barat,283.0,2023,5560300,False
Nusa Tenggara Barat,287.0,2024,5646000,False
Nusa Tenggara Barat,291.0,2025,5731100,False
Nusa Tenggara Barat,296.0,2026,5815300,False
Nusa Tenggara Timur,102.8,2015,5024696,True
Nusa Tenggara Timur,104.0,2016,5083485,True
Nusa Tenggara Timur,105.3,2017,5142962,True
Nusa Tenggara Timur,106.5,2018,5203134,True
