provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled
DI Yogyakarta,2019,6650.0,False,3626273.0,1157.5,True,183.4,5.3525,Jawa,Jawa Bagian Tengah,1,2,0.2851331306164187,-0.3947602675906272,0.1531535450498702,1.4062537959680732
DI Yogyakarta,2020,7721.0,False,3668700.0,1171.0,False,210.5,5.3525,Jawa,Jawa Bagian Tengah,1,2,0.5997346481096508,-0.3909162002184613,0.1582314572816209,1.4062537959680732
DI Yogyakarta,2021,4774.0,False,3712900.0,1185.0,False,128.6,5.3525,Jawa,Jawa Bagian Tengah,1,2,-0.3510352516208183,-0.3869114914752146,0.1634974403367697,1.4062537959680732
DKI Jakarta,2015,44461.0,False,9965326.0,15008.2,True,446.2,5.3525,Jawa,Jawa Bagian Barat,1,1,3.3359552264548467,0.1795850032918306,5.362978652332031,1.4062537959680732
DKI Jakarta,2016,43842.0,False,10081921.0,15183.8,True,434.9,5.3525,Jawa,Jawa Bagian Barat,1,1,3.2047745198986286,0.1901490081768726,5.4290291255094685,1.4062537959680732
DKI Jakarta,2017,34767.0,False,10199879.0,15361.5,True,340.9,5.3525,Jawa,Jawa Bagian Barat,1,1,2.113536783944244,0.2008365066822098,5.49586949614518,1.4062537959680732
DKI Jakarta,2018,34655.0,False,10319218.0,15541.2,True,335.8,5.3525,Jawa,Jawa Bagian Barat,1,1,2.0543313323126764,0.2116491296847058,5.563462150074484,1.4062537959680732
DKI Jakarta,2019,31934.0,False,10439953.0,15723.0,True,305.9,5.3525,Jawa,Jawa Bagian Barat,1,1,1.7072248609825047,0.2225882362484139,5.631844701462059,1.4062537959680732
DKI Jakarta,2020,26585.0,False,10562100.0,15907.0,False,251.7,5.3525,Jawa,Jawa Bagian Barat,1,1,1.0780218259960406,0.2336552760416574,5.701054764472588,1.4062537959680732
DKI Jakarta,2021,29103.0,False,10609700.0,15978.0,False,274.3,5.3525,Jawa,Jawa Bagian Barat,1,1,1.340383239108478,0.2379680393036155,5.727760821395128,1.4062537959680732
Gorontalo,2015,3372.0,False,1105497.0,98.1,True,305.0,3.1225,Sulawesi,Sulawesi Bagian Utara,4,14,1.696776840106346,-0.6231533374315007,-0.2453309155661795,-1.3353344531997386
Gorontalo,2016,3763.0,False,1118432.0,99.3,True,336.5,3.1225,Sulawesi,Sulawesi Bagian Utara,4,14,2.0624575707719117,-0.6219813711963447,-0.2448795455900239,-1.3353344531997386
Gorontalo,2017,3099.0,False,1131517.0,100.4,True,273.9,3.1225,Sulawesi,Sulawesi Bagian Utara,4,14,1.3357396742746293,-0.6207958143206572,-0.2444657897785479,-1.3353344531997386
Gorontalo,2018,2836.0,False,1144756.0,101.6,True,247.7,3.1225,Sulawesi,Sulawesi Bagian Utara,4,14,1.031586177657556,-0.6195963043873576,-0.2440144198023923,-1.3353344531997386
Gorontalo,2019,2367.0,False,1158150.0,102.8,True,204.4,3.1225,Sulawesi,Sulawesi Bagian Utara,4,14,0.5289202843934622,-0.6183827507921755,-0.2435630498262367,-1.3353344531997386
Gorontalo,2020,2518.0,False,1171700.0,104.0,False,214.9,3.1225,Sulawesi,Sulawesi Bagian Utara,4,14,0.6508138612819838,-0.6171550629308408,-0.2431116798500811,-1.3353344531997386
Gorontalo,2021,2445.0,False,1181000.0,105.0,False,207.0,3.1225,Sulawesi,Sulawesi Bagian Utara,4,14,0.559103455813477,-0.6163124432178952,-0.2427355382032847,-1.3353344531997386
Jambi,2015,10564.0,False,3347722.0,67.0,True,315.6,4.24,Sumatera,Sumatera Bagian Tengah,5,16,1.8198313082033304,-0.4199981776616708,-0.2570289207815459,0.0385332008114859
Jambi,2016,5904.0,False,3386890.0,67.8,True,174.3,4.24,Sumatera,Sumatera Bagian Tengah,5,16,0.1794920306463667,-0.4164493896061168,-0.2567280074641088,0.0385332008114859
Jambi,2017,9531.0,False,3426517.0,68.6,True,278.2,4.24,Sumatera,Sumatera Bagian Tengah,5,16,1.3856579962385,-0.4128590141905367,-0.2564270941466717,0.0385332008114859
Jambi,2018,6313.0,False,3466607.0,69.4,True,182.1,4.24,Sumatera,Sumatera Bagian Tengah,5,16,0.2700415449064112,-0.4092266889978497,-0.2561261808292347,0.0385332008114859
Jambi,2019,6848.0,False,3507166.0,70.2,True,195.3,4.24,Sumatera,Sumatera Bagian Tengah,5,16,0.4232791844234101,-0.4055518704024347,-0.2558252675117976,0.0385332008114859
Jambi,2020,4709.0,False,3548200.0,71.0,False,132.7,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.3034387120738718,-0.4018340147786703,-0.2555243541943605,0.0385332008114859
Jambi,2021,3701.0,False,3585100.0,72.0,False,103.2,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.6459016185701945,-0.3984907172079507,-0.2551482125475642,0.0385332008114859
Jawa Barat,2015,27805.0,False,45546639.0,1287.9,True,61.0,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.1357977085412054,3.403403900742052,0.2022024157921138,1.4062537959680732
Jawa Barat,2016,29351.0,False,46079535.0,1302.9,True,63.7,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.1044536459127283,3.4516865539194552,0.207844540494059,1.4062537959680732
Jawa Barat,2017,25183.0,False,46618665.0,1318.2,True,54.0,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.2170600931335531,3.5005340341173428,0.2135995076900431,1.4062537959680732
Jawa Barat,2018,16209.0,False,47164104.0,1333.6,True,34.4,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.444594769992127,3.54995313665598,0.2193920890507068,1.4062537959680732
Jawa Barat,2019,13145.0,False,47715924.0,1349.2,True,27.5,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.5246962633760128,3.5999503850428223,0.2252598987407299,1.4062537959680732
Jawa Barat,2020,11256.0,False,48274200.0,1365.0,False,23.3,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.5734536941314212,3.650532574598136,0.2312029367601121,1.4062537959680732
Jawa Barat,2021,7502.0,False,48782400.0,1379.0,False,15.4,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.6651640995999282,3.696577664718452,0.236468919815261,1.4062537959680732
Jawa Tengah,2015,15958.0,False,34452794.0,1050.1,True,46.3,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.306448716185136,2.398254170703038,0.1127559321839425,1.4062537959680732
Jawa Tengah,2016,14353.0,False,34855892.0,1062.4,True,41.2,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.3656541678167036,2.4347765708158278,0.1173824744395376,1.4062537959680732
Jawa Tengah,2017,12033.0,False,35263706.0,1074.8,True,34.1,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.4480774436175134,2.471726260666923,0.1220466308598123,1.4062537959680732
Jawa Tengah,2018,9127.0,False,35676291.0,1087.4,True,25.6,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.5467531963367929,2.5091082234911872,0.1267860156094463,1.4062537959680732
Jawa Tengah,2019,10317.0,False,36093704.0,1100.1,True,28.6,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.5119264600829296,2.5469276237320213,0.1315630145237598,1.4062537959680732
Jawa Tengah,2020,10712.0,False,36516000.0,1113.0,False,29.3,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.5038002216236943,2.5851894446242865,0.1364152417674327,1.4062537959680732
Jawa Tengah,2021,8909.0,False,36742500.0,1120.0,False,24.2,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.5630056732552626,2.605711311826671,0.1390482332950072,1.4062537959680732
Jawa Timur,2015,27394.0,False,38368030.0,802.9,True,71.4,5.3525,Jawa,Jawa Bagian Timur,1,3,-1.843941345703093,2.752991271179837,0.0197737170958856,1.4062537959680732
Jawa Timur,2016,5437.0,False,38816936.0,812.3,True,14.0,5.3525,Jawa,Jawa Bagian Timur,1,3,-1.6814165765183977,2.793664071702369,0.0233094485757713,1.4062537959680732
Jawa Timur,2017,28902.0,False,39271094.0,821.8,True,73.6,5.3525,Jawa,Jawa Bagian Timur,1,3,-0.9895254162749796,2.83481272585204,0.0268827942203365,1.4062537959680732
Jawa Timur,2018,26295.0,False,39730566.0,831.4,True,66.2,5.3525,Jawa,Jawa Bagian Timur,1,3,-1.0754313657011756,2.876442851093603,0.0304937540295815,1.4062537959680732
Jawa Timur,2019,26985.0,False,40195414.0,841.2,True,67.1,5.3525,Jawa,Jawa Bagian Timur,1,3,-1.0649833448250168,2.9185600648918104,0.0341799421681857,1.4062537959680732
Jawa Timur,2020,17642.0,False,40665700.0,851.0,False,43.4,5.3525,Jawa,Jawa Bagian Timur,1,3,-1.340114561230537,2.9611699847114155,0.0378661303067899,1.4062537959680732
Jawa Timur,2021,19257.0,False,40878800.0,855.0,False,47.1,5.3525,Jawa,Jawa Bagian Timur,1,3,-1.297161586517439,2.9804777546929966,0.0393706968939753,1.4062537959680732
Kalimantan Barat,2015,6669.0,False,5108479.0,34.9,True,130.5,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-0.3289783186600381,-0.2604660746609255,-0.2691030676437086,-0.201202094519332
Kalimantan Barat,2016,7311.0,False,5168248.0,35.3,True,141.5,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-0.2012802857292059,-0.2550507480347916,-0.2689526109849901,-0.201202094519332
Kalimantan Barat,2017,6020.0,False,5228716.0,35.7,True,115.1,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-0.5077555647632034,-0.2495720890237815,-0.2688021543262716,-0.201202094519332
Kalimantan Barat,2018,5814.0,False,5289892.0,36.1,True,109.9,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-0.568121907603233,-0.2440292821894634,-0.268651697667553,-0.201202094519332
