provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled,crime_rate_lag1,crime_rate_lag2,crime_rate_ma3,crime_rate_yoy_abs,crime_rate_yoy_change,trend_direction,trend_direction_enc,unemp_x_density,crime_per_density,danger_level,danger_level_enc
Sulawesi Utara,2016,9923.0,False,2502702.0,180.4,True,396.5,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,2.7280508426,-0.5013014608,-0.2137358518,-1.3353344532,316.8,,356.6,79.7,25.16,Naik,1.0,563.3,2.1979,Berbahaya,3
Sulawesi Utara,2017,7981.0,False,2531984.0,182.5,True,315.2,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,1.7906417818,-0.4986445255,-0.2129460848,-1.3353344532,396.5,316.8,342.8,-81.3,-20.5,Turun,-1.0,569.86,1.7271,Tinggi,2
Sulawesi Utara,2018,10247.0,False,2561608.0,184.7,True,400.0,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,2.7684067063,-0.4959565584,-0.2121187098,-1.3353344532,315.2,396.5,370.6,84.8,26.9,Naik,1.0,576.73,2.1657,Berbahaya,3
Sulawesi Utara,2019,7425.0,False,2591579.0,186.8,True,286.5,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,1.4597237001,-0.4932371058,-0.2113289428,-1.3353344532,400.0,315.2,333.9,-113.5,-28.38,Turun,-1.0,583.28,1.5337,Tinggi,2
Sulawesi Utara,2020,6274.0,False,2621900.0,189.0,False,239.3,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,0.9154960534,-0.4904858957,-0.2105015678,-1.3353344532,286.5,400.0,308.6,-47.2,-16.47,Turun,-1.0,590.15,1.2661,Tinggi,2
Sulawesi Utara,2021,6215.0,False,2638600.0,190.0,False,235.5,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,0.8716811158,-0.4889706023,-0.2101254883,-1.3353344532,239.3,286.5,253.8,-3.8,-1.59,Stabil,0.0,593.28,1.2395,Tinggi,2
Sulawesi Utara,2022,9618.0,False,2659500.0,183.0,False,361.6,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,2.325645231,-0.4870742172,-0.212758045,-1.3353344532,235.5,239.3,278.8,126.1,53.55,Naik,1.0,571.42,1.976,Berbahaya,3
Sulawesi Utara,2023,14265.0,False,2681500.0,185.0,False,532.0,3.1224999999999996,Sulawesi,Sulawesi Bagian Utara,4,14,4.2903992773,-0.4850780223,-0.212005886,-1.3353344532,361.6,235.5,376.4,170.4,47.12,Naik,1.0,577.66,2.8757,Berbahaya,3
Sulawesi Utara,2024,13078.0,False,2701800.0,186.0,False,484.0,5.915,Sulawesi,Sulawesi Bagian Utara,4,14,3.7369474333,-0.4832360789,-0.2116298064,2.0977979171,532.0,361.6,459.2,-48.0,-9.02,Turun,-1.0,1100.19,2.6022,Berbahaya,3
Sumatera Barat,2015,16277.0,False,5221793.0,124.5,True,311.7,4.24,Sumatera,Sumatera Bagian Tengah,5,16,1.7502859182,-0.2545816678,-0.2347586977,0.0385332008,,,,,,,,527.88,2.5036,Tinggi,2
Sumatera Barat,2016,14921.0,False,5282888.0,126.0,True,282.4,4.24,Sumatera,Sumatera Bagian Tengah,5,16,1.4124496884,-0.2490381439,-0.2341945784,0.0385332008,311.7,,297.0,-29.3,-9.4,Turun,-1.0,534.24,2.2413,Tinggi,2
Sumatera Barat,2017,13205.0,False,5344698.0,127.5,True,247.1,4.24,Sumatera,Sumatera Bagian Tengah,5,16,1.0054319781,-0.2434297438,-0.2336304591,0.0385332008,282.4,311.7,280.4,-35.3,-12.5,Turun,-1.0,540.6,1.938,Tinggi,2
Sumatera Barat,2018,12953.0,False,5407231.0,129.0,True,239.5,4.24,Sumatera,Sumatera Bagian Tengah,5,16,0.9178021028,-0.2377557414,-0.2330663398,0.0385332008,247.1,282.4,256.3,-7.6,-3.08,Turun,-1.0,546.96,1.8566,Tinggi,2
Sumatera Barat,2019,11064.0,False,5470495.0,130.5,True,202.2,4.24,Sumatera,Sumatera Bagian Tengah,5,16,0.487723899,-0.2320154109,-0.2325022205,0.0385332008,239.5,247.1,229.6,-37.3,-15.57,Turun,-1.0,553.32,1.5494,Tinggi,2
Sumatera Barat,2020,7992.0,False,5534500.0,132.0,False,144.4,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.1787243632,-0.2262078449,-0.2319381012,0.0385332008,202.2,239.5,195.4,-57.8,-28.59,Turun,-1.0,559.68,1.0939,Sedang,1
Sumatera Barat,2021,5666.0,False,5580200.0,133.0,False,101.5,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.6733719488,-0.2220612038,-0.2315620216,0.0385332008,144.4,202.2,149.4,-42.9,-29.71,Turun,-1.0,563.92,0.7632,Sedang,1
Sumatera Barat,2022,7691.0,False,5640600.0,134.0,False,136.4,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.2709663372,-0.2165807416,-0.2311859421,0.0385332008,101.5,144.4,127.4,34.9,34.38,Naik,1.0,568.16,1.0179,Sedang,1
Sumatera Barat,2023,12722.0,False,5757200.0,137.0,False,221.0,4.24,Sumatera,Sumatera Bagian Tengah,5,16,0.7044925379,-0.2060009089,-0.2300577035,0.0385332008,136.4,101.5,153.0,84.6,62.02,Naik,1.0,580.88,1.6131,Tinggi,2
Sumatera Barat,2024,13099.0,False,5836200.0,139.0,False,224.4,5.77,Sumatera,Sumatera Bagian Tengah,5,16,0.7436953769,-0.1988327547,-0.2293055445,1.9195332103,221.0,136.4,193.9,3.4,1.54,Stabil,0.0,802.03,1.6144,Tinggi,2
Sumatera Selatan,2015,20575.0,False,7988980.0,86.8,True,257.5,4.24,Sumatera,Sumatera Bagian Selatan,5,15,1.1253465443,-0.0034978298,-0.248936896,0.0385332008,,,,,,,,368.03,2.9666,Tinggi,2
Sumatera Selatan,2016,9124.0,False,8082451.0,87.8,True,112.9,4.24,Sumatera,Sumatera Bagian Selatan,5,15,-0.5419271358,0.0049833669,-0.2485608165,0.0385332008,257.5,,185.2,-144.6,-56.16,Turun,-1.0,372.27,1.2859,Sedang,1
Sumatera Selatan,2017,15728.0,False,8177016.0,88.8,True,192.3,4.24,Sumatera,Sumatera Bagian Selatan,5,15,0.3735744562,0.013563829,-0.248184737,0.0385332008,112.9,257.5,187.6,79.4,70.33,Naik,1.0,376.51,2.1655,Sedang,1
Sumatera Selatan,2018,13558.0,False,8272687.0,89.9,True,163.9,4.24,Sumatera,Sumatera Bagian Selatan,5,15,0.0461154485,0.0222446452,-0.2477710495,0.0385332008,192.3,112.9,156.4,-28.4,-14.77,Turun,-1.0,381.18,1.8231,Sedang,1
Sumatera Selatan,2019,12861.0,False,8369477.0,90.9,True,153.7,4.24,Sumatera,Sumatera Bagian Selatan,5,15,-0.0714930684,0.0310269952,-0.24739497,0.0385332008,163.9,192.3,170.0,-10.2,-6.22,Turun,-1.0,385.42,1.6909,Sedang,1
Sumatera Selatan,2020,12189.0,False,8467400.0,92.0,False,144.0,4.24,Sumatera,Sumatera Bagian Selatan,5,15,-0.1833364619,0.0399121492,-0.2469812825,0.0385332008,153.7,163.9,153.9,-9.7,-6.31,Turun,-1.0,390.08,1.5652,Sedang,1
Sumatera Selatan,2021,13037.0,False,8550900.0,93.0,False,152.5,4.24,Sumatera,Sumatera Bagian Selatan,5,15,-0.0853293645,0.047488616,-0.2466052029,0.0385332008,144.0,153.7,150.1,8.5,5.9,Naik,1.0,394.32,1.6398,Sedang,1
Sumatera Selatan,2022,11453.0,False,8657000.0,100.0,False,132.3,4.24,Sumatera,Sumatera Bagian Selatan,5,15,-0.3182403489,0.0571157194,-0.2439726462,0.0385332008,152.5,144.0,142.9,-20.2,-13.25,Turun,-1.0,424.0,1.323,Sedang,1
Sumatera Selatan,2023,21335.0,False,8743500.0,101.0,False,244.0,4.24,Sumatera,Sumatera Bagian Selatan,5,15,0.9696882132,0.0649643946,-0.2435965667,0.0385332008,132.3,152.5,176.3,111.7,84.43,Naik,1.0,428.24,2.4158,Tinggi,2
Sumatera Selatan,2024,25154.0,False,8837300.0,102.0,False,284.6,3.915,Sumatera,Sumatera Bagian Selatan,5,15,1.4378162312,0.0734754435,-0.2432204871,-0.3610256247,244.0,132.3,220.3,40.6,16.64,Naik,1.0,399.33,2.7902,Tinggi,2
Sumatera Utara,2015,35248.0,False,13963213.0,191.5,True,252.4,4.24,Sumatera,Sumatera Bagian Utara,5,17,1.0665422859,0.5385809492,-0.209561369,0.0385332008,,,,,,,,811.96,1.318,Tinggi,2
Sumatera Utara,2016,37102.0,False,14126582.0,193.8,True,262.6,4.24,Sumatera,Sumatera Bagian Utara,5,17,1.1841508027,0.5534044199,-0.2086963861,0.0385332008,252.4,,257.5,10.2,4.04,Naik,1.0,821.71,1.355,Tinggi,2
Sumatera Utara,2017,39867.0,False,14291863.0,196.0,True,278.9,4.24,Sumatera,Sumatera Bagian Utara,5,17,1.3720938248,0.5684013781,-0.2078690111,0.0385332008,262.6,252.4,264.6,16.3,6.21,Naik,1.0,831.04,1.423,Tinggi,2
Sumatera Utara,2018,32922.0,False,14459078.0,198.3,True,227.7,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.7817451911,0.58357382,-0.2070040282,0.0385332008,278.9,262.6,256.4,-51.2,-18.36,Turun,-1.0,840.79,1.1483,Tinggi,2
Sumatera Utara,2019,30831.0,False,14628249.0,200.7,True,210.8,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.5868840211,0.5989237418,-0.2061014373,0.0385332008,227.7,278.9,239.1,-16.9,-7.42,Turun,-1.0,850.97,1.0503,Tinggi,2
Sumatera Utara,2020,32990.0,False,14799400.0,203.0,False,222.9,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.7264000067,0.6144533211,-0.2052364544,0.0385332008,210.8,227.7,220.5,12.1,5.74,Naik,1.0,860.72,1.098,Tinggi,2
Sumatera Utara,2021,36534.0,False,14936200.0,205.0,False,244.6,4.24,Sumatera,Sumatera Bagian Utara,5,17,0.9766063612,0.6268660236,-0.2044842953,0.0385332008,222.9,210.8,226.1,21.7,9.74,Naik,1.0,869.2,1.1932,Tinggi,2
Sumatera Utara,2022,43555.0,False,15115200.0,209.0,False,288.2,4.24,Sumatera,Sumatera Bagian Utara,5,17,1.4793251195,0.6431077908,-0.2029799772,0.0385332008,244.6,222.9,251.9,43.6,17.83,Naik,1.0,886.16,1.3789,Tinggi,2
Sumatera Utara,2023,62278.0,False,15386600.0,212.0,False,404.8,4.24,Sumatera,Sumatera Bagian Utara,5,17,2.8237518907,0.6677335763,-0.2018517386,0.0385332008,288.2,244.6,312.5,116.6,40.46,Naik,1.0,898.88,1.9094,Berbahaya,3
Sumatera Utara,2024,60724.0,False,15588500.0,215.0,False,389.5,5.35,Sumatera,Sumatera Bagian Utara,5,17,2.6473391154,0.6860532009,-0.2007235,1.4031802665,404.8,288.2,360.8,-15.3,-3.78,Turun,-1.0,1150.25,1.8116,Berbahaya,3
