provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled
Bengkulu,2020,3333.0,False,2010700.0,101.0,False,165.8,4.24,Sumatera,Sumatera Bagian Selatan,5,15,0.0680229173,-0.545943818,-0.2435965667,0.0385332008
Bengkulu,2021,3493.0,False,2032900.0,102.0,False,171.8,4.24,Sumatera,Sumatera Bagian Selatan,5,15,0.1372043978,-0.5439294759,-0.2432204871,0.0385332008
Bengkulu,2022,3613.0,False,2060100.0,102.0,False,175.4,4.24,Sumatera,Sumatera Bagian Selatan,5,15,0.1787132861,-0.5414614532,-0.2432204871,0.0385332008
Bengkulu,2023,5579.0,False,2086000.0,104.0,False,267.4,4.24,Sumatera,Sumatera Bagian Selatan,5,15,1.2394959871,-0.5391113874,-0.2424683281,0.0385332008
Bengkulu,2024,5323.0,False,2112200.0,105.0,False,252.0,3.14,Sumatera,Sumatera Bagian Selatan,5,15,1.0619301872,-0.5367341008,-0.2420922485,-1.3138197472
DI Yogyakarta,2015,9692.0,False,3461413.0,1104.8,True,280.0,5.3525,Jawa,Jawa Bagian Tengah,1,2,1.3847770962,-0.4143117354,0.1339120678,1.406253796
DI Yogyakarta,2016,8348.0,False,3501912.0,1117.8,True,238.4,5.3525,Jawa,Jawa Bagian Tengah,1,2,0.9051188314,-0.4106370129,0.1388011018,1.406253796
DI Yogyakarta,2017,7251.0,False,3542884.0,1130.8,True,204.7,5.3525,Jawa,Jawa Bagian Tengah,1,2,0.5165495159,-0.4069193722,0.1436901357,1.406253796
DI Yogyakarta,2018,6731.0,False,3584336.0,1144.1,True,187.8,5.3525,Jawa,Jawa Bagian Tengah,1,2,0.3216883458,-0.4031581781,0.1486919935,1.406253796
DI Yogyakarta,2019,6650.0,False,3626273.0,1157.5,True,183.4,5.3525,Jawa,Jawa Bagian Tengah,1,2,0.2709552601,-0.3993529771,0.1537314592,1.406253796
DI Yogyakarta,2020,7721.0,False,3668700.0,1171.0,False,210.5,5.3525,Jawa,Jawa Bagian Tengah,1,2,0.583424947,-0.3955033153,0.1588085329,1.406253796
DI Yogyakarta,2021,4774.0,False,3712900.0,1185.0,False,128.6,5.3525,Jawa,Jawa Bagian Tengah,1,2,-0.3609022618,-0.3914927784,0.1640736463,1.406253796
DI Yogyakarta,2022,10591.0,False,3761900.0,1186.0,False,281.5,5.3525,Jawa,Jawa Bagian Tengah,1,2,1.4020724663,-0.387046708,0.1644497259,1.406253796
