provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled,crime_rate_lag1,crime_rate_lag2,crime_rate_ma3,crime_rate_yoy_abs,crime_rate_yoy_change,trend_direction,trend_direction_enc,unemp_x_density,crime_per_density,danger_level,danger_level_enc
Maluku Utara,2016,1096.0,False,1219720.0,38.0,True,89.86,5.065,Maluku & Papua,Maluku,3,8,-0.807584021,-0.6177142817,-0.2672895772,1.0527979118,67.58,,78.7,22.28,32.97,Naik,1.0,192.47,2.3647,Rendah,0
Maluku Utara,2017,789.0,False,1235217.0,39.0,True,63.88,5.065,Maluku & Papua,Maluku,3,8,-1.1071398315,-0.6163081439,-0.2669134977,1.0527979118,89.86,67.58,73.8,-25.98,-28.91,Turun,-1.0,197.54,1.6379,Rendah,0
Maluku Utara,2020,850.0,False,1282900.0,40.0,False,66.26,5.065,Maluku & Papua,Maluku,3,8,-1.0796978443,-0.611981573,-0.2665374181,1.0527979118,63.88,89.86,73.3,2.38,3.73,Stabil,0.0,202.6,1.6565,Rendah,0
Maluku Utara,2021,1008.0,False,1299200.0,41.0,False,77.59,5.065,Maluku & Papua,Maluku,3,8,-0.9490601486,-0.6105025741,-0.2661613386,1.0527979118,66.26,63.88,69.2,11.33,17.1,Naik,1.0,207.67,1.8924,Rendah,0
Nusa Tenggara Barat,2015,6015.0,False,5019507.0,269.8,True,119.8,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,-0.4623684332,-0.2729363165,-0.1801143416,-1.4674962186,,,,,,,,813.45,0.444,Sedang,1
Nusa Tenggara Barat,2016,7779.0,False,5078235.0,273.0,True,153.2,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,-0.0772581918,-0.267607565,-0.1789108871,-1.4674962186,119.8,,136.5,33.4,27.88,Naik,1.0,823.1,0.5612,Sedang,1
Nusa Tenggara Barat,2017,8132.0,False,5137650.0,276.2,True,158.3,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,-0.0184539333,-0.2622164779,-0.1777074326,-1.4674962186,153.2,119.8,143.8,5.1,3.33,Naik,1.0,832.74,0.5731,Sedang,1
Nusa Tenggara Barat,2018,6451.0,False,5197761.0,279.4,True,124.1,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,-0.4127883722,-0.2567622384,-0.1765039781,-1.4674962186,158.3,153.2,145.2,-34.2,-21.6,Turun,-1.0,842.39,0.4442,Sedang,1
Nusa Tenggara Barat,2019,8185.0,False,5258575.0,282.7,True,155.7,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,-0.0484325749,-0.2512442115,-0.1752629157,-1.4674962186,124.1,158.3,146.0,31.6,25.46,Naik,1.0,852.34,0.5508,Sedang,1
Nusa Tenggara Barat,2020,8591.0,False,5320100.0,286.0,False,161.5,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,0.0184428563,-0.2456616711,-0.1740218532,-1.4674962186,155.7,124.1,147.1,5.8,3.73,Naik,1.0,862.29,0.5647,Sedang,1
Nusa Tenggara Barat,2021,6296.0,False,5390000.0,290.0,False,116.8,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,-0.4969591735,-0.2393192156,-0.1725175351,-1.4674962186,161.5,155.7,144.7,-44.7,-27.68,Turun,-1.0,874.35,0.4028,Sedang,1
Nusa Tenggara Timur,2015,6709.0,False,5024696.0,102.8,True,133.5,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,-0.3044040528,-0.2724654867,-0.2429196235,-1.4674962186,,,,,,,,309.94,1.2986,Sedang,1
Nusa Tenggara Timur,2016,8713.0,False,5083485.0,104.0,True,171.4,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,0.1325922991,-0.2671312004,-0.2424683281,-1.4674962186,133.5,,152.4,37.9,28.39,Naik,1.0,313.56,1.6481,Sedang,1
Nusa Tenggara Timur,2017,6729.0,False,5142962.0,105.3,True,130.8,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,-0.335535719,-0.2617344876,-0.2419794247,-1.4674962186,171.4,133.5,145.2,-40.6,-23.69,Turun,-1.0,317.48,1.2422,Sedang,1
Nusa Tenggara Timur,2018,6257.0,False,5203134.0,106.5,True,120.3,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,-0.4566033099,-0.2562747132,-0.2415281293,-1.4674962186,130.8,171.4,140.8,-10.5,-8.03,Turun,-1.0,321.1,1.1296,Sedang,1
Nusa Tenggara Timur,2019,5865.0,False,5264011.0,107.7,True,111.4,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,-0.5592225059,-0.2507509699,-0.2410768338,-1.4674962186,120.3,130.8,120.8,-8.9,-7.4,Turun,-1.0,324.72,1.0344,Sedang,1
Nusa Tenggara Timur,2020,4790.0,False,5325600.0,109.0,False,89.9,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,-0.8071228111,-0.2451626224,-0.2405879304,-1.4674962186,111.4,120.3,107.2,-21.5,-19.3,Turun,-1.0,328.64,0.8248,Rendah,0
Nusa Tenggara Timur,2021,4909.0,False,5387700.0,111.0,False,91.1,3.015,Bali & Nusa Tenggara,Nusa Tenggara,0,9,-0.793286515,-0.2395279087,-0.2398357714,-1.4674962186,89.9,111.4,97.5,1.2,1.33,Stabil,0.0,334.66,0.8207,Rendah,0
Papua,2015,7194.0,False,4054260.0,12.0,True,177.44,5.065,Maluku & Papua,Papua,3,10,0.2022349895,-0.3605190932,-0.2770676451,1.0527979118,,,,,,,,60.78,14.7867,Sedang,1
Papua,2016,8103.0,False,4102964.0,12.0,True,197.49,5.065,Maluku & Papua,Papua,3,10,0.4334164368,-0.3560998808,-0.2770676451,1.0527979118,177.44,,187.5,20.05,11.3,Naik,1.0,60.78,16.4575,Sedang,1
Papua,2017,6785.0,False,4152253.0,13.0,True,163.41,5.065,Maluku & Papua,Papua,3,10,0.0404656275,-0.3516275877,-0.2766915655,1.0527979118,197.49,177.44,179.4,-34.08,-17.26,Turun,-1.0,65.84,12.57,Sedang,1
Papua,2018,7311.0,False,4202134.0,13.0,True,173.98,5.065,Maluku & Papua,Papua,3,10,0.1623403357,-0.3471015788,-0.2766915655,1.0527979118,163.41,197.49,178.3,10.57,6.47,Naik,1.0,65.84,13.3831,Sedang,1
Papua,2019,6994.0,False,4252614.0,13.0,True,164.46,5.065,Maluku & Papua,Papua,3,10,0.0525723866,-0.342521219,-0.2766915655,1.0527979118,173.98,163.41,167.3,-9.52,-5.47,Turun,-1.0,65.84,12.6508,Sedang,1
Papua,2020,6962.0,False,4303700.0,13.0,False,161.77,5.065,Maluku & Papua,Papua,3,10,0.0215560229,-0.3378858731,-0.2766915655,1.0527979118,164.46,173.98,166.7,-2.69,-1.64,Stabil,0.0,65.84,12.4438,Sedang,1
Papua,2021,6236.0,False,4355400.0,14.0,False,143.18,5.065,Maluku & Papua,Papua,3,10,-0.1927912642,-0.3331948152,-0.276315486,1.0527979118,161.77,164.46,156.5,-18.59,-11.49,Turun,-1.0,70.91,10.2271,Sedang,1
Papua Barat,2015,1356.0,False,1027109.0,10.0,True,132.02,5.065,Maluku & Papua,Papua,3,10,-0.321468818,-0.6351910583,-0.2778198041,1.0527979118,,,,,,,,50.65,13.202,Sedang,1
Papua Barat,2016,3123.0,False,1047667.0,10.0,True,298.09,5.065,Maluku & Papua,Papua,3,10,1.5933592599,-0.633325705,-0.2778198041,1.0527979118,132.02,,215.1,166.07,125.79,Naik,1.0,50.65,29.809,Tinggi,2
Papua Barat,2017,2284.0,False,1068637.0,10.0,True,213.73,5.065,Maluku & Papua,Papua,3,10,0.620667644,-0.6314229683,-0.2778198041,1.0527979118,298.09,132.02,214.6,-84.36,-28.3,Turun,-1.0,50.65,21.373,Tinggi,2
Papua Barat,2018,3475.0,False,1090027.0,11.0,True,318.8,5.065,Maluku & Papua,Papua,3,10,1.8321506701,-0.6294821225,-0.2774437246,1.0527979118,213.73,298.09,276.9,105.07,49.16,Naik,1.0,55.72,28.9818,Tinggi,2
Papua Barat,2019,2972.0,False,1111845.0,11.0,True,267.3,5.065,Maluku & Papua,Papua,3,10,1.2383429625,-0.6275024417,-0.2774437246,1.0527979118,318.8,213.73,266.6,-51.5,-16.15,Turun,-1.0,55.72,24.3,Tinggi,2
Papua Barat,2020,3162.0,False,1134100.0,11.0,False,278.81,5.065,Maluku & Papua,Papua,3,10,1.3710561026,-0.6254831091,-0.2774437246,1.0527979118,267.3,318.8,288.3,11.51,4.31,Naik,1.0,55.72,25.3464,Tinggi,2
Papua Barat,2021,2784.0,False,1156800.0,11.0,False,240.66,5.065,Maluku & Papua,Papua,3,10,0.931177189,-0.623423399,-0.2774437246,1.0527979118,278.81,267.3,262.3,-38.15,-13.68,Turun,-1.0,55.72,21.8782,Tinggi,2
Riau,2015,9595.0,False,6032824.0,68.9,True,159.0,4.24,Sumatera,Sumatera Bagian Tengah,5,16,-0.0103827606,-0.1809918539,-0.2556687197,0.0385332008,,,,,,,,292.14,2.3077,Sedang,1
