provinsi,tahun,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled
DI Yogyakarta,2021,Jawa,Jawa Bagian Tengah,1,2,-0.35103525162081833,-0.3869114914752146,0.16349744033676974,1.4062537959680732
DI Yogyakarta,2022,Jawa,Jawa Bagian Tengah,1,2,1.4239674061177499,-0.38247188223496364,0.1638735819835661,1.4062537959680732
DI Yogyakarta,2023,Jawa,Jawa Bagian Tengah,1,2,1.903415475212602,-0.3847732306982774,0.16086444880919532,1.4062537959680732
DI Yogyakarta,2024,Jawa,Jawa Bagian Tengah,1,2,1.755982291737914,-0.38268933248346576,0.1638735819835661,-1.0433491576045113
DKI Jakarta,2015,Jawa,Jawa Bagian Barat,1,1,3.3359552264548467,0.17958500329183064,5.362978652332031,1.4062537959680732
DKI Jakarta,2016,Jawa,Jawa Bagian Barat,1,1,3.2047745198986286,0.19014900817687264,5.4290291255094685,1.4062537959680732
DKI Jakarta,2017,Jawa,Jawa Bagian Barat,1,1,2.1135367839442436,0.2008365066822098,5.49586949614518,1.4062537959680732
DKI Jakarta,2018,Jawa,Jawa Bagian Barat,1,1,2.0543313323126764,0.21164912968470584,5.563462150074484,1.4062537959680732
DKI Jakarta,2019,Jawa,Jawa Bagian Barat,1,1,1.7072248609825047,0.22258823624841395,5.631844701462059,1.4062537959680732
DKI Jakarta,2020,Jawa,Jawa Bagian Barat,1,1,1.0780218259960406,0.23365527604165745,5.7010547644725875,1.4062537959680732
DKI Jakarta,2021,Jawa,Jawa Bagian Barat,1,1,1.340383239108478,0.23796803930361551,5.727760821395128,1.4062537959680732
DKI Jakarta,2022,Jawa,Jawa Bagian Barat,1,1,1.7002595137317325,0.24433751949932248,5.79546631781847,1.4062537959680732
DKI Jakarta,2023,Jawa,Jawa Bagian Barat,1,1,7.666079434018523,0.24362174576466977,5.790952618056914,1.4062537959680732
DKI Jakarta,2024,Jawa,Jawa Bagian Barat,1,1,6.550462982686434,0.24478148042334755,5.7980993093460444,2.3498273301547528
Gorontalo,2015,Sulawesi,Sulawesi Bagian Utara,4,14,1.696776840106346,-0.6231533374315007,-0.24533091556617953,-1.3353344531997386
Gorontalo,2016,Sulawesi,Sulawesi Bagian Utara,4,14,2.0624575707719113,-0.6219813711963447,-0.24487954559002395,-1.3353344531997386
Gorontalo,2017,Sulawesi,Sulawesi Bagian Utara,4,14,1.3357396742746293,-0.6207958143206572,-0.24446578977854796,-1.3353344531997386
Gorontalo,2018,Sulawesi,Sulawesi Bagian Utara,4,14,1.0315861776575561,-0.6195963043873576,-0.24401441980239233,-1.3353344531997386
Gorontalo,2019,Sulawesi,Sulawesi Bagian Utara,4,14,0.5289202843934622,-0.6183827507921755,-0.24356304982623672,-1.3353344531997386
Gorontalo,2020,Sulawesi,Sulawesi Bagian Utara,4,14,0.6508138612819838,-0.6171550629308408,-0.2431116798500811,-1.3353344531997386
Gorontalo,2021,Sulawesi,Sulawesi Bagian Utara,4,14,0.559103455813477,-0.6163124432178952,-0.24273553820328475,-1.3353344531997386
Gorontalo,2022,Sulawesi,Sulawesi Bagian Utara,4,14,0.5776777151488707,-0.6152523732564475,-0.24499238808406285,-1.3353344531997386
Gorontalo,2023,Sulawesi,Sulawesi Bagian Utara,4,14,1.5760441544262866,-0.6133949857171589,-0.24424010479047015,-1.3353344531997386
Gorontalo,2024,Sulawesi,Sulawesi Bagian Utara,4,14,1.2927866995615311,-0.6120721633721046,-0.24386396314367378,-1.3752903357548747
Jambi,2015,Sumatera,Sumatera Bagian Tengah,5,16,1.8198313082033302,-0.41999817766167086,-0.25702892078154593,0.03853320081148591
Jambi,2016,Sumatera,Sumatera Bagian Tengah,5,16,0.17949203064636673,-0.4164493896061168,-0.25672800746410884,0.03853320081148591
Jambi,2017,Sumatera,Sumatera Bagian Tengah,5,16,1.3856579962385,-0.4128590141905367,-0.25642709414667175,0.03853320081148591
Jambi,2018,Sumatera,Sumatera Bagian Tengah,5,16,0.2700415449064112,-0.40922668899784975,-0.2561261808292347,0.03853320081148591
Jambi,2019,Sumatera,Sumatera Bagian Tengah,5,16,0.4232791844234101,-0.40555187040243473,-0.2558252675117976,0.03853320081148591
Jambi,2020,Sumatera,Sumatera Bagian Tengah,5,16,-0.30343871207387185,-0.4018340147786703,-0.25552435419436054,0.03853320081148591
Jambi,2021,Sumatera,Sumatera Bagian Tengah,5,16,-0.6459016185701945,-0.3984907172079507,-0.2551482125475642,0.03853320081148591
Jambi,2022,Sumatera,Sumatera Bagian Tengah,5,16,-0.13046592201301718,-0.39432292077832737,-0.2543959292539715,0.03853320081148591
Jambi,2023,Sumatera,Sumatera Bagian Tengah,5,16,0.5010588953903714,-0.38996485538126474,-0.25401978760717514,0.03853320081148591
Jambi,2024,Sumatera,Sumatera Bagian Tengah,5,16,0.5231158283511516,-0.38587860279482966,-0.2536436459603788,0.31515084927012116
Jawa Barat,2015,Jawa,Jawa Bagian Barat,1,1,-1.1357977085412054,3.403403900742052,0.20220241579211387,1.4062537959680732
Jawa Barat,2016,Jawa,Jawa Bagian Barat,1,1,-1.1044536459127285,3.4516865539194552,0.20784454049405907,1.4062537959680732
